Words Between Parentheses
in-house trainers
training managers
Terms and Conditions
budget options
technical specifications
Client Managers
Support Team
In-House Trainers
schedule
cost
terms and conditions
schedule
cost
terms and conditions
service staff
service staff managers
Client Managers
Support Team
In-House Trainers
legal and commercial aspects
learning and teaching guidelines
3rd party funding obligations
legal and commercial aspects
learning and teaching guidelines
3rd party funding obligations
Client Managers
Support Team
In-House Trainers
schedule
cost
terms and conditions
schedule
cost
terms and conditions
Dean's Office
Head's of Groups
no bid
submit
rework
no bid
submit
rework
Dean's Office
Head's of Groups
no bid
submit
rework
submit
schedule
cost
terms and conditions
service staff
service staff managers
Dean's Office
Head's of Groups
no bid
submit
rework
rework
Terms and Conditions
budget options
technical specifications
