Words Between Parentheses
design
material
quantity
Production manager
operators
Production manager
agreed delivery time
capacity
accept
reject
reject
accept
reject
Accept
Production manager
agreed delivery time
capacity
agreed delivery time
capacity
agreed delivery time
capacity
